Change Request,Description,CR type,Process,WF type,Date completed,Month
259078,Update related to Workflow 24761,MDG,Maintanence,MDG CR,05-Dec-24,Dec-24
259159,ERP- B631_Update Min Lot Size,MDG,Maintanence,MDG CR,05-Dec-24,Dec-24
259160,Update Cross Material Status for Workflow 24742,MDG,Production & launch,P30,05-Dec-24,Dec-24
259388,Update Cross Material Status for Workflow 24741,MDG,Material master creation,P30,06-Dec-24,Dec-24
259389,Update Cross Material Status for Workflow 24743,MDG,Material master creation,P30,06-Dec-24,Dec-24
263894,CR900001830_ Update MRP controller,MDG,Maintanence,MDG CR,09-Dec-24,Dec-24
266577,Update MM fields in code creation,MDG,Maintanence,MDG CR,12-Dec-24,Dec-24
272445,update of Sales Text in ES (in addition to EN),MDG,Maintanence,MDG CR,12-Dec-24,Dec-24
272491,update of Sales Text in EN (in addition to ES),MDG,Maintanence,MDG CR,12-Dec-24,Dec-24
273410,remove DChain-spec. status value Y4,MDG,Maintanence,MDG CR,12-Dec-24,Dec-24
315448,Updates related to P30 WF 24860,MDG,Material master creation,P30,06-Jan-25,Jan-25
315643,Enhance MRP Data WF 24857,MDG,Material master creation,P30,06-Jan-25,Jan-25
316910,Data transfer to P30 for WF 24859,MDG,Material master creation,P30,07-Jan-25,Jan-25
316944,Enhance MRP Data WF 24859,MDG,Material master creation,P30,07-Jan-25,Jan-25
317159,WF 900005903 - New FIN material,MDG,Material master creation,LCM WF,08-Jan-25,Jan-25
317124,WF 900005902 - New FIN material,MDG,Material master creation,LCM WF,09-Jan-25,Jan-25
322183,Update Gross wt_WF 24891,MDG,Maintanence,MDG CR,10-Jan-25,Jan-25
322186,Update MRP controller_WF24890,MDG,Maintanence,MDG CR,10-Jan-25,Jan-25
266131,WF 900005843 - New FIN material,MDG,Material master creation,LCM WF,13-Jan-25,Jan-25
295544,WF 900005892 - New FIN material,MDG,Material master creation,LCM WF,15-Jan-25,Jan-25
326568,add OMP class,MDG,Maintanence,MDG CR,15-Jan-25,Jan-25
326752,"Update CoO, RoO",MDG,Maintanence,MDG CR,15-Jan-25,Jan-25
326754,Update AUoM,MDG,Maintanence,MDG CR,15-Jan-25,Jan-25
326755,"Update CoO,RoO",MDG,Maintanence,MDG CR,15-Jan-25,Jan-25
327307,Update AUoM in A411 for code creation,MDG,Maintanence,MDG CR,16-Jan-25,Jan-25
327320,Update AUoM for A411 - WF 24872,MDG,Maintanence,MDG CR,16-Jan-25,Jan-25
327380,Updates to A411 - WF 24872,MDG,Material master creation,P30,16-Jan-25,Jan-25
327746,TOLL_ZRAW_Update GMP_P30_Plant 1001,MDG,Production & launch,MDG CR,16-Jan-25,Jan-25
327780,Push to P30 WF 24867,MDG,Material master creation,P30,16-Jan-25,Jan-25
296631,WF 900005879 - New FIN material,MDG,Material master creation,LCM WF,17-Jan-25,Jan-25
328702,Material master update,MDG,Maintanence,MDG CR,17-Jan-25,Jan-25
333982,MRP Data enhancing for WF 24867,MDG,Maintanence,MDG CR,20-Jan-25,Jan-25
333894,CMO_ZSEM_Update NonGMP_OMP_TLANE,MDG,Maintanence,MDG CR,22-Jan-25,Jan-25
333895,CMO_ZSEM_Update NonGMP_OMP_TLANE,MDG,Maintanence,MDG CR,22-Jan-25,Jan-25
334727,AFF_PACP_Affiliate_OMP Update_P30_Plant 2532,MDG,Production & launch,MDG CR,22-Jan-25,Jan-25
334809,CMO_ZSEM_Update NonGMP_Material Class,MDG,Maintanence,MDG CR,22-Jan-25,Jan-25
340567,Push to P30 WF 24939,MDG,Material master creation,P30,27-Jan-25,Jan-25
336760,AFF_ZFIN_Execution-Ready_P30_Plant 2910,MDG,Production & launch,MDG CR,28-Jan-25,Jan-25
340533,LATAM 1318- Exec ready,MDG,Production & launch,MDG CR,28-Jan-25,Jan-25
340681,Updates Related to P30 WF 24937,MDG,Material master creation,P30,28-Jan-25,Jan-25
343487,Enhance MRP Data WF 24939,MDG,Material master creation,P30,28-Jan-25,Jan-25
334887,CMO_ZSEM_Ready for Execution_P30 (SEMP)_Plant 1001,MDG,Production & launch,MDG CR,29-Jan-25,Jan-25
343411,KAU_ZFIN_Update Non-GMP_P30_Plant 1001_Sales Text update,MDG,Production & launch,MDG CR,29-Jan-25,Jan-25
346002,Updates Related to P30 WF 24938,MDG,Material master creation,P30,29-Jan-25,Jan-25
350364,Enhance Data for plant A411 WF 24956,MDG,Material master creation,P30,29-Jan-25,Jan-25
348637,Data Push to P30 WF 24956,MDG,Material master creation,P30,29-Jan-25,Jan-25
348638,Enhance MRP data for plant A631 WF 24956,MDG,Material master creation,P30,29-Jan-25,Jan-25
350861,Enhance Data for plant A411 WF 24956,MDG,Material master creation,P30,29-Jan-25,Jan-25
360070,Enhance MRP data for plant A411 WF 24958,MDG,Material master creation,P30,30-Jan-25,Jan-25
359915,Push to P30 WF 24958,MDG,Material master creation,P30,30-Jan-25,Jan-25
360062,Enhance MRP data for plant A131 WF 24958,MDG,Material master creation,P30,30-Jan-25,Jan-25
360069,Enhance MRP data for plant A411 WF 24958,MDG,Material master creation,P30,30-Jan-25,Jan-25
343331,AFF_ZFIN_Execution-Ready_P30_Plant 2532,MDG,Production & launch,MDG CR,03-Feb-25,Feb-25
316948,WF 900005896 - New FIN material,MDG,Material master creation,LCM WF,04-Feb-25,Feb-25
317165,WF 900005896 - New FIN material,MDG,Material master creation,LCM WF,04-Feb-25,Feb-25
359962,TOLL_ZFIN_Update Non-GMP_OMP,MDG,Production & launch,MDG CR,04-Feb-25,Feb-25
396333,CMO_ZFIN_Update_NonGMP_OMP_Create_T-lane,MDG,Maintanence,MDG CR,04-Feb-25,Feb-25
405784,Updates Related to P30 WF 24965,MDG,Material master creation,P30,05-Feb-25,Feb-25
406104,Updates Related to P30 WF 24981,MDG,Material master creation,P30,05-Feb-25,Feb-25
410275,Updates Related to P30 WF 24966,MDG,Material master creation,P30,05-Feb-25,Feb-25
410276,Updates Related to P30 WF 24967,MDG,Material master creation,P30,05-Feb-25,Feb-25
410384,Mark MRP Area A731MRP001 for Deletion,MDG,Maintanence,MDG CR,05-Feb-25,Feb-25
409473,Data push to P30 WF 24982,MDG,Material master creation,P30,05-Feb-25,Feb-25
409475,Enhance Data for plant A731 WF 24982,MDG,Material master creation,P30,05-Feb-25,Feb-25
371200,VERIFY FINP CR343330,MDG,Development,LCM WF,06-Feb-25,Feb-25
413169,Mark MRP Area A731MRP001 for Deletion,MDG,Maintanence,MDG CR,06-Feb-25,Feb-25
413170,Mark MRP Area A731MRP001 for Deletion,MDG,Maintanence,MDG CR,06-Feb-25,Feb-25
413448,MRP Type update,MDG,Maintanence,MDG CR,06-Feb-25,Feb-25
413663,Min lot size update,MDG,Maintanence,MDG CR,06-Feb-25,Feb-25
413731,Min lot size update,MDG,Maintanence,MDG CR,06-Feb-25,Feb-25
360058,WF 900005935 - New FIN material,MDG,Material master creation,LCM WF,07-Feb-25,Feb-25
413961,Enhancing MRP data for WF 24956,MDG,Material master creation,P30,07-Feb-25,Feb-25
418075,AFF_ZFIN_Affiliate_Update_P30_Plant 2580,MDG,Production & launch,MDG CR,07-Feb-25,Feb-25
418077,AFF_ZFIN_Affiliate_Update_P30_Plant 2580,MDG,Production & launch,MDG CR,07-Feb-25,Feb-25
418078,AFF_ZFIN_Affiliate_Update_P30_Plant 2580,MDG,Production & launch,MDG CR,07-Feb-25,Feb-25
418451,Data push to p30 WF 24989,MDG,Material master creation,P30,07-Feb-25,Feb-25
418454,Enhancing MRP data for WF 24989,MDG,Material master creation,P30,07-Feb-25,Feb-25
404737,AFF_ZFIN_Execution-Ready_P30_Plant 2673,MDG,Production & launch,MDG CR,10-Feb-25,Feb-25
405406,AFF_ZFIN_Execution-Ready_P57_Plant 2800,MDG,Production & launch,MDG CR,10-Feb-25,Feb-25
419048,Updates Related to P30 WF 24990,MDG,Material master creation,P30,10-Feb-25,Feb-25
417900,AFF_ZFIN_Execution-Ready_P30_Plant 2672,MDG,Production & launch,MDG CR,11-Feb-25,Feb-25
417936,AFF_ZFIN_Execution-Ready_P30_Plant 2672,MDG,Production & launch,MDG CR,11-Feb-25,Feb-25
418039,AFF_ZFIN_Execution-Ready_P30_Plant 2672,MDG,Production & launch,MDG CR,11-Feb-25,Feb-25
418082,AFF_ZFIN_Execution-Ready_P30_Plant 2672,MDG,Production & launch,MDG CR,11-Feb-25,Feb-25
428942,AFF_ZFIN_Execution-Ready_P30_Plant 2670,MDG,Production & launch,MDG CR,11-Feb-25,Feb-25
434166,Plant extension B831,MDG,Maintanence,MDG CR,12-Feb-25,Feb-25
438220,AFF_ZFIN_Affiliate_Update_P30_Plant 2670,MDG,Production & launch,MDG CR,12-Feb-25,Feb-25
438448,AFF_ZFIN_Affiliate_Update_P30_Plant 2670,MDG,Production & launch,MDG CR,12-Feb-25,Feb-25
